      Year        North         East           Up   SigmaNorth    SigmaEast      SigmaUp
 1992.6202        8.604        6.047       -0.155        5.385        6.672       19.677
 1992.6311        3.671        2.220        3.113        3.688        2.793       11.892
 1992.6366       -4.000       -5.386       -3.546        3.633        2.776       11.616
 1992.6475        6.930       -4.476        4.839        3.818        2.892       12.081
 1992.6503        3.163       -4.312       -2.371        3.271        2.531       10.013
 1992.6530       -2.133        1.885        6.340        3.276        2.527       10.077
 1992.6557        2.006        5.054       15.449        3.263        2.554       10.033
 1992.6585        2.256       -1.631        2.344        3.264        2.525       10.076
 1992.6612        4.208       -2.081      -13.018        3.583        2.761       11.435
 1992.6639        0.695       -0.204        7.172        3.637        2.723       11.109
 1992.6667        9.430        1.415        6.903        3.355        2.548       10.343
 1992.6694       -6.665        0.507       17.986        3.322        2.541       10.182
 1992.6721        0.976        5.210      -11.342        3.580        2.708       11.193
 1992.6858        3.490        4.411       -7.453        3.580        2.800       11.061
 1992.6885        0.899       -3.130        2.080        3.440        2.644       10.573
 1992.6913        0.949        4.439       -6.968        4.080        3.166       12.509
 1992.6940       -5.023       -4.115        0.948        3.473        2.688       10.940
 1992.7022        9.368        7.495       -3.543        3.986        3.639       13.224
 1992.7049       -1.834       -4.617       -7.129        3.479        2.658       11.024
 1992.7104        7.214       -0.164       -5.505        3.612        2.693       11.346
 1992.7213        9.133       -6.050       16.913        4.232        3.877       14.230
 1992.7240       -0.331        1.165        5.736        3.437        2.629       10.686
 1992.7268       -1.297       -3.999        7.473        3.397        2.657       10.671
 1992.7295       -6.247       -6.514       11.648        3.412        2.711       10.935
 1992.7596        4.681       -3.936       -4.139        4.230        3.590       13.042
 1992.7650       -3.576       -0.965        7.233        3.263        2.470        9.709
 1992.7678       -1.516       -4.671        1.317        3.265        2.510        9.925
 1992.7705       -4.316       -4.527       11.113        3.349        2.504       10.192
 1992.7787       -4.884      -10.189       -9.202        3.694        3.331       11.547
 1992.7814        0.769        1.619        9.931        3.340        2.653       10.051
 1992.7842        0.021        0.671        6.840        3.253        2.439        9.398
 1992.7869        0.154        2.197        7.763        3.242        2.444        9.437
 1992.7896        1.381        3.919       -0.967        3.347        2.533        9.931
 1992.8005        2.358        3.194       15.485        3.570        2.600       10.406
 1992.8033        0.344        0.952        0.820        3.246        2.438        9.393
 1992.8060       -5.317       -6.799       -0.302        3.218        2.449        9.440
 1992.8087        0.218       -6.039       -4.956        3.373        2.673       10.151
 1992.8197        2.311       -2.856       -5.426        3.325        2.518        9.712
 1992.8224       -5.329       -8.196        4.548        3.239        2.470        9.557
 1992.8279        0.999       -4.656        7.254        3.234        2.456        9.539
 1992.8361       -2.309       -2.238        2.388        3.702        3.350       11.731
 1992.8388        1.970       -4.705        4.064        3.287        2.489        9.752
 1992.8415       -1.162       -8.027       -6.814        3.236        2.474        9.592
 1992.8443        0.114       -6.647       -9.554        3.274        2.466        9.644
 1992.8470        2.438       -4.832       -6.464        3.222        2.451        9.480
 1992.8497       -0.915       -1.805        6.990        3.202        2.445        9.434
 1992.8525        2.619       -3.272        6.128        3.266        2.471        9.786
 1992.8552       -1.622       -3.164        7.888        3.261        2.477        9.629
 1992.8579        4.712       -0.414        2.120        3.241        2.505        9.641
 1992.8607        4.674        3.088        0.181        3.246        2.466        9.501
 1992.8634        5.096       -0.113       -0.638        3.178        2.439        9.404
 1992.8661        7.494        0.238        2.411        3.296        2.514        9.692
 1992.8689        8.702       -3.710       -1.212        3.315        2.523        9.794
 1992.8716        6.040        3.963        7.593        3.215        2.464        9.517
 1992.8770        7.331        1.789      -11.557        3.174        2.436        9.412
 1992.8798        4.071        7.537        7.251        3.221        2.496        9.655
 1992.8825        2.101        6.371       11.549        3.242        2.461        9.641
 1992.8852        5.617       12.099       14.123        3.252        2.480        9.631
 1992.8934        1.502       -8.637        5.812        3.439        2.603       10.514
 1992.8962        5.100        6.391        2.880        3.297        2.492        9.832
 1992.8989        3.257        1.317       -3.347        3.287        2.524        9.891
 1992.9044        9.052        7.169       -3.785        3.280        2.528        9.873
 1992.9126        6.394        6.644        6.265        3.558        2.789       11.312
 1992.9180        0.578       -1.953        9.964        3.287        2.521        9.849
 1992.9262        0.058      -10.708       14.309        7.221        7.916       18.100
 1992.9344        2.914        5.011        1.232        3.501        2.680       10.476
 1992.9399        1.102        2.616        8.280        3.459        2.624       10.444
 1992.9426        1.273        5.615       -3.531        3.482        2.618       10.336
 1992.9454        7.268        6.201       -9.099        3.487        2.628       10.359
 1992.9481        4.939       -2.818       -1.488        3.475        2.713       10.219
 1992.9508        3.939        0.003        1.853        3.161        2.473        9.581
 1992.9536        4.307        2.679       -1.878        3.170        2.461        9.543
 1992.9563        5.498       -1.833        5.965        3.258        2.521        9.954
 1992.9672        4.630        1.964        8.363        3.214        2.473        9.426
 1992.9754        0.642       -9.782       -7.198        3.150        2.412        9.200
 1992.9809        1.572        8.482       -3.884        3.268        2.512        9.972
 1992.9836        1.358       11.570        4.236        3.183        2.415        9.348
 1992.9863       -0.076       -3.789        5.222        3.221        2.482        9.526
 1992.9891        4.220        4.306        4.064        3.254        2.427        9.653
 1992.9918       -4.210        4.352        5.493        3.206        2.450        9.539
 1992.9945        3.681        0.814       -9.079        3.164        2.415        9.184
 1992.9973       -1.393        9.996        0.286        3.184        2.409        9.280
 1993.0027        4.080       -9.027       -5.617        3.154        2.424        9.330
 1993.0055       -0.692       -3.768       -3.273        3.204        2.424        9.428
 1993.0082        7.913       -8.873       -2.956        3.155        2.386        9.182
 1993.0110        0.631       -5.022       -0.342        3.346        2.416        9.424
 1993.0137        1.283        1.492       -1.361        3.353        2.398        9.407
 1993.0164        3.201        1.245        0.062        3.117        2.335        8.954
 1993.0192        4.728        1.189       -6.206        3.150        2.353        9.137
 1993.0219        1.397       -0.336        8.205        3.124        2.339        9.050
 1993.0274       -1.924        3.089        5.667        3.156        2.365        9.218
 1993.0301        4.762        3.717       -6.163        3.151        2.386        9.333
 1993.0329        1.537       -0.655       -1.961        3.125        2.340        9.051
 1993.0356        2.247        0.375       -2.462        3.133        2.346        9.149
 1993.0384        0.699       11.317       -0.945        3.160        2.398        9.260
 1993.0411        1.230        3.346       -6.971        3.172        2.425        9.397
 1993.0438       -0.735        5.833        1.970        3.316        2.448        9.584
 1993.0466        6.970        7.257        7.295        3.164        2.357        9.189
 1993.0493        0.802        5.484        3.156        3.117        2.339        9.059
 1993.0521        2.353        5.608        8.430        3.082        2.311        8.849
 1993.0548        4.600        4.505        1.596        3.129        2.337        9.005
 1993.0575        5.070        6.912       -5.455        3.136        2.348        9.152
 1993.0603        5.607        6.789       -5.785        3.181        2.356        9.340
 1993.0630        5.895        7.324       -1.800        3.137        2.345        9.104
 1993.0658        6.383        6.342       -2.891        3.152        2.344        9.143
 1993.0685        2.694        0.522        0.876        3.157        2.331        9.099
 1993.0712        1.953       -2.214       -1.480        3.147        2.347        9.159
 1993.0740       -3.758       -4.590      -10.049        3.292        2.438        9.576
 1993.0767        3.987        1.010      -13.734        3.133        2.320        8.991
 1993.0822        0.517       -4.727       -3.556        3.192        2.324        9.240
 1993.0849        7.413       -0.045       -1.820        3.129        2.307        8.970
 1993.0904        5.045       -1.711       -8.062        3.157        2.326        9.152
 1993.0932       -1.580       -4.078       -8.441        3.129        2.322        9.071
 1993.0959        0.627       -1.931       -4.831        3.122        2.316        9.008
 1993.0986        2.300       -4.753       -2.467        3.139        2.310        8.996
 1993.1014        3.355       -3.921       -0.578        3.178        2.372        9.302
 1993.1041        1.341        0.939        1.470        3.128        2.318        9.046
 1993.1068        1.792       -5.308       -1.677        3.125        2.320        9.051
 1993.1096        4.260        1.608       -6.021        3.129        2.313        9.073
 1993.1123        4.993       -1.178       -0.597        3.121        2.298        9.015
 1993.1151        1.992       -1.201       -0.731        3.137        2.297        9.048
 1993.1178        4.701       -2.181       -3.175        3.139        2.336        9.146
 1993.1205       -1.274       -1.729        5.861        3.148        2.363        9.387
 1993.1233        2.981       -0.712       -1.366        3.145        2.315        9.133
 1993.1260        2.182        2.711       -5.824        3.162        2.331        9.115
 1993.1288        4.530       -0.003       -4.232        3.192        2.329        9.256
 1993.1315        4.694       -0.627       -4.375        3.195        2.336        9.141
 1993.1342        5.103        1.711        2.148        3.336        2.471        9.452
 1993.1370        1.916        4.395        0.824        3.567        2.748       10.308
 1993.1397        3.593        2.084        1.510        3.528        2.685       10.237
 1993.1425        3.903       -4.182        3.652        3.138        2.335        9.014
 1993.1452        4.290        5.239       -2.687        3.171        2.384        9.224
 1993.1479        3.186       -1.092        0.098        3.509        2.500        9.868
 1993.1507        2.866        2.957        5.053        3.428        2.594       10.250
 1993.1562        2.154       -2.235        8.046        3.372        2.622        9.988
 1993.1589        4.153       -1.840       12.679        3.900        2.910       11.225
 1993.1616        2.243        0.011       -2.193        3.206        2.384        9.297
 1993.1644        0.406       -1.189       -6.043        3.137        2.343        9.001
 1993.1671        2.561        3.933       -0.277        3.208        2.395        9.374
 1993.1699        1.441       -3.690        0.856        3.182        2.349        9.116
 1993.1726        4.620        2.879       -4.330        3.550        2.460        9.924
 1993.1753        0.557        2.654        3.094        3.350        2.432        9.618
 1993.1781        1.245        2.765        4.679        3.181        2.407        9.400
 1993.1808       -3.103       -1.258        3.050        3.206        2.355        9.195
 1993.1836       -1.884        2.457        8.752        3.273        2.426        9.520
 1993.1863        0.591       -2.383       -0.229        3.196        2.394        9.488
 1993.1890       -0.382       -1.240        3.818        3.399        2.493       10.400
 1993.1918       -0.508        0.461        8.753        3.152        2.285        9.040
 1993.1945        1.107        0.948        2.227        3.221        2.370        9.276
 1993.1973       -1.887       -3.095        1.380        3.157        2.344        9.149
 1993.2000        0.555        1.035        4.062        3.311        2.417        9.907
 1993.2027       -1.343       -2.227       -3.586        3.222        2.432        9.634
 1993.2055        5.029       -0.167       -7.408        3.245        2.472        9.693
 1993.2082       -1.397       -1.666       -3.168        3.391        2.511        9.880
 1993.2110       -0.282       -1.352       -4.405        3.257        2.451        9.949
 1993.2137        2.461        0.641        0.995        3.176        2.318        9.132
 1993.2164       -0.925       -4.071       -0.439        3.235        2.393        9.430
 1993.2192       -1.585        2.273        2.171        3.263        2.413        9.795
 1993.2219        7.101       -4.728        0.408        3.202        2.383        9.493
 1993.2247        2.513        2.154        3.320        3.154        2.325        9.170
 1993.2274        2.278        2.734        5.993        3.509        2.751       10.865
 1993.2301        1.369        4.559        5.222        3.328        2.533        9.692
 1993.2329       -0.194        0.878        1.970        3.174        2.347        9.308
 1993.2356       -0.871        1.383        6.013        3.175        2.365        9.347
 1993.2384        0.233        0.717        1.971        3.127        2.368        9.253
 1993.2411        0.944        2.292       -0.679        3.153        2.350        9.340
 1993.2438        1.921        2.888        3.863        3.136        2.352        9.228
 1993.2466        2.591        2.232       14.147        3.133        2.320        9.095
 1993.2493        0.860        0.259        8.187        3.149        2.344        9.161
 1993.2521       -0.554       -1.578        2.288        3.124        2.267        9.050
 1993.2548       -1.710       -5.405        1.597        3.213        2.318        9.249
 1993.2575       -2.010       -2.509        7.758        3.457        2.421        9.940
 1993.2603        2.527        0.760        7.813        3.175        2.302        8.963
 1993.2630       -7.161       -2.891       -5.882        3.258        2.301        9.189
 1993.2658       -1.699       -4.404       -5.841        3.537        2.409        9.789
 1993.2685       -0.023       -5.958       -3.667        3.373        2.424        9.825
 1993.2712       -1.891       -4.322        6.740        3.171        2.293        9.234
 1993.2740       -2.311       -0.532        5.693        3.186        2.273        9.102
 1993.2767       -3.194       -0.441        4.489        3.122        2.257        8.939
 1993.2795        6.028       -1.349        7.388        3.244        2.331        9.405
 1993.2822       -0.846       -2.451        3.949        3.316        2.369        9.598
 1993.2849       -1.368       -0.913        7.699        3.238        2.306        9.430
 1993.2877       -0.711       -1.433       -0.197        3.133        2.259        9.041
 1993.2904        0.680       -0.566        0.207        3.136        2.241        9.002
 1993.2932       -1.517        3.058       -4.528        3.116        2.235        8.913
 1993.2986        6.892        5.828       10.174        3.889        3.292       11.166
 1993.3041        4.570        3.841       -0.510        3.996        3.562       11.546
 1993.3068        4.184        6.636        7.325        4.331        3.812       11.934
 1993.3096        0.002       -1.700        0.713        3.443        2.403        9.568
 1993.3123       -1.274       -2.676       -6.080        3.190        2.243        9.090
 1993.3151        1.783       -5.105        1.034        3.199        2.253        9.116
 1993.3178       -2.946       -5.944       -6.629        3.187        2.253        9.104
 1993.3205       -4.604       -0.469        1.062        3.664        2.774       10.227
 1993.3233        4.068        5.619       -0.783        3.814        3.268       11.089
 1993.3288       -0.250       -2.597        7.149        3.639        2.912       10.894
 1993.3342       -0.199       -5.086       -2.979        3.310        2.390        9.630
 1993.3370       -2.125        1.813        2.730        3.364        2.298        9.458
 1993.3397       -1.470       -3.478       -7.196        3.231        2.255        9.103
 1993.3425       -0.361       -0.012       -1.801        3.208        2.265        9.095
 1993.3452       -2.078       -3.114       -2.398        3.192        2.240        8.933
 1993.3479        1.229        0.576        1.735        3.315        2.294        9.179
 1993.3507       -2.366        0.342        0.668        3.457        2.518       10.297
 1993.3534       -3.333        2.972       -5.971        3.573        2.430        9.969
 1993.3562        0.333        0.971       -0.491        5.102        3.689       14.477
 1993.3589       -0.951        1.782       -6.458        3.526        2.421        9.709
 1993.3616       -1.661        0.312       -9.632        3.335        2.363        9.417
 1993.3644       -1.936        5.307       -5.463        3.179        2.250        8.911
 1993.3671       -1.022        0.428       -2.882        3.317        2.381        9.322
 1993.3699       -0.631       -2.402       -7.844        3.185        2.268        9.151
 1993.3726       -1.327       -0.873       -0.149        3.290        2.303        9.174
 1993.3753       -4.697       -1.156       -6.840        3.217        2.318        9.104
 1993.3781       -3.201       -1.668       -7.401        3.157        2.255        8.946
 1993.3808       -3.035       -0.887       -5.236        3.185        2.328        9.246
 1993.3836       -0.976       -1.261       -3.237        3.192        2.273        9.100
 1993.3863        1.433       -0.283       -5.895        3.150        2.258        9.033
 1993.3890       -1.694       -5.741       -9.786        3.243        2.276        9.112
 1993.3918       -0.980       -1.169       -7.220        3.155        2.272        8.988
 1993.3945       -1.617       -1.438       -5.350        3.186        2.244        9.012
 1993.3973       -0.016       -1.078       -0.690        3.172        2.254        9.041
 1993.4000       -1.374        3.861        2.743        3.329        2.398        9.660
 1993.4027       -1.447       -2.825       -2.839        3.236        2.306        9.415
 1993.4055       -5.168        2.860       -5.763        3.223        2.276        9.133
 1993.4082        0.970        0.904       -7.066        3.184        2.261        8.989
 1993.4110       -1.793        2.431       -1.201        3.152        2.252        8.959
 1993.4137       -2.621        0.526       -2.421        3.195        2.285        9.078
 1993.4164        0.706       -0.450       -9.829        3.229        2.348        9.210
 1993.4192       -1.239        0.109       -5.803        3.168        2.254        8.946
 1993.4219       -3.674       -3.658        3.215        3.212        2.277        9.136
 1993.4247       -5.924       -6.450       11.797        3.827        3.147       11.213
 1993.4274       -5.374       -4.549        1.432        3.728        3.100       11.107
 1993.4301       -1.760       -2.043        3.779        3.808        3.159       11.195
 1993.4329       -1.012        5.460        0.966        3.659        3.032       10.950
 1993.4356       -3.296       -1.129       -1.135        3.305        2.389        9.305
 1993.4384       -1.594        2.385        1.708        3.184        2.264        9.071
 1993.4411       -2.878        0.753       -0.101        3.313        2.417        9.581
 1993.4438        3.651        0.120        6.552        3.173        2.255        8.971
 1993.4466       -1.941       -0.239       -4.702        3.752        2.488       10.037
 1993.4493       -3.375        0.298        6.054        5.637        4.761       18.205
 1993.4521        1.214        0.457       -0.701        4.816        3.696       14.976
 1993.4548       -0.290        3.155        6.515        3.630        2.602       10.683
 1993.4575       -0.142        2.333       -4.956        3.136        2.211        8.698
 1993.4603        1.484       -2.181       -4.900        3.110        2.217        8.773
 1993.4630       -0.452        1.037       -0.282        3.135        2.232        8.765
 1993.4658       -4.144       -0.842       -4.192        3.111        2.226        8.710
 1993.4685       -5.013        1.104        5.590        3.253        2.328        9.184
 1993.4712        0.778       -0.859        1.700        3.166        2.305        9.039
 1993.4740       -0.612       -3.383       -0.980        3.159        2.249        8.927
 1993.4767        4.476        1.109        7.922        3.161        2.274        8.917
 1993.4795        3.989        5.740        8.842        3.100        2.229        8.747
 1993.4822        1.892        0.992        2.815        3.228        2.257        8.977
 1993.4849       -2.008        3.811        0.839        3.125        2.242        8.840
 1993.4877       -0.683        0.917       -2.755        3.135        2.306        9.082
 1993.4904        0.408        1.810        0.702        3.126        2.252        8.786
 1993.4932        2.523        6.025        6.166        3.150        2.258        8.925
 1993.4959       -1.289        3.525        2.339        3.156        2.233        8.702
 1993.4986        5.409        4.283        2.269        3.180        2.328        9.209
 1993.5014        0.705       -0.406        0.579        3.144        2.283        9.031
 1993.5041       -1.212        0.250       -0.670        3.100        2.237        8.766
 1993.5068        3.119       -3.949       -3.829        3.122        2.227        8.654
 1993.5096       -3.127       -2.730       -4.761        3.079        2.233        8.683
 1993.5123       -3.822        0.172       -5.370        3.231        2.255        8.828
 1993.5151       -4.754       -1.662       -2.654        3.087        2.235        8.904
 1993.5178       -0.485       -0.886        1.936        3.261        2.285        9.401
 1993.5205        2.990       -3.252       -7.431        3.150        2.254        8.967
 1993.5233        0.324        3.181       -0.787        3.241        2.249        9.161
 1993.5260        5.163       -1.991        0.127        3.278        2.330        9.582
 1993.5288       -4.026        1.055       -2.988        3.150        2.239        9.100
 1993.5315       -2.467       -0.859        0.105        3.105        2.232        8.877
 1993.5342       -2.192       -1.441        0.657        3.218        2.332        9.332
 1993.5370       -0.656       -3.838       -3.535        3.245        2.293        9.234
 1993.5397       -1.080       -1.498       -0.413        3.295        2.315        9.385
 1993.5425       -1.985        3.049        2.110        3.161        2.251        9.142
 1993.5452       -2.945        1.193       -1.526        3.154        2.258        9.068
 1993.5479       -4.388       -0.245       -4.598        3.170        2.308        9.117
 1993.5507       -2.630       -1.833        2.021        3.105        2.236        8.858
 1993.5534       -3.949       -1.923       -0.162        3.130        2.236        9.088
 1993.5562       -0.690        0.099        1.323        3.519        2.389       10.140
 1993.5589       -4.020        0.427       -4.678        3.209        2.270        9.330
 1993.5616       -3.218        1.969       -4.512        3.144        2.229        9.139
 1993.5644       -4.260        1.884        1.365        3.135        2.260        9.288
 1993.5671       -3.389        2.740       -4.675        3.222        2.284        9.318
 1993.5699       -2.033       -0.496       -3.148        3.188        2.260        9.130
 1993.5726       -1.823       -2.015        0.362        3.248        2.302        9.330
 1993.5753       -2.651       -0.620        5.642        3.076        2.227        8.868
 1993.5781       -2.715        2.067       -3.267        3.061        2.192        8.704
 1993.5808       -4.572        1.225       -1.514        3.057        2.190        8.745
 1993.5836       -4.115        0.916        4.964        3.208        2.257        8.928
 1993.5863       -5.603        1.539        3.270        3.140        2.264        8.896
 1993.5890       -3.254        2.935        0.802        3.120        2.188        8.802
 1993.5918        0.266       -0.096        8.747        3.050        2.183        8.687
 1993.5945       -3.467        1.380        5.236        7.747        5.352       21.064
 1993.5973       -4.458        0.893        0.016        3.053        2.219        8.853
 1993.6000       -4.322        3.058       -3.791        3.110        2.252        8.839
 1993.6027       -3.894        0.587       -2.867        3.099        2.198        8.767
 1993.6055       -5.186        3.342       -3.831        3.216        2.330        9.309
 1993.6082       -2.926       -1.159        0.216        3.085        2.195        8.774
 1993.6110       -0.605        1.079       -3.820        3.225        2.336        9.334
 1993.6137       -5.112        0.852        2.656        3.167        2.253        9.153
 1993.6164       -4.777       -0.135        1.365        3.097        2.225        8.964
 1993.6192       -2.659        0.914        1.021        3.196        2.264        9.254
 1993.6247       -2.278       -0.881       -6.347        3.279        2.348        9.516
 1993.6274       -1.039        2.829       -2.197        3.296        2.310        9.735
 1993.6301       -7.000        1.931       -0.518        3.171        2.316        9.115
 1993.6329       -6.567       -1.687        3.660        3.264        2.341        9.510
 1993.6356       -5.436       -2.038       -0.956        3.188        2.281        9.292
 1993.6438       -3.423        2.907       -3.546        3.243        2.386        9.411
 1993.6466       -3.037        2.231       -1.991        3.336        2.392        9.651
 1993.6493       -4.706        5.189       -1.219        3.265        2.356        9.613
 1993.6521       -1.404        1.086       -1.082        3.179        2.273        9.206
 1993.6548       -1.974       -1.189        2.967        3.102        2.230        8.988
 1993.6575       -7.206       -1.708       -3.481        3.236        2.333        9.436
 1993.6603       -3.261       -1.155       -3.249        3.240        2.306        9.429
 1993.6658       -5.909       -2.237        5.446        3.319        2.286        9.132
 1993.6685       -4.765        7.749       -1.103        3.283        2.390        9.623
 1993.6712       -5.659        3.293        4.874        3.347        2.471        9.763
 1993.6740        1.054        1.013        2.250        3.345        2.424        9.966
 1993.6767       -1.603        3.964        0.265        3.485        2.489       10.022
 1993.6795       -0.778       -0.116       -1.741        3.192        2.322        9.322
 1993.6822       -2.187        0.695       -3.889        3.320        2.315        9.326
 1993.6849       -3.485       -0.587        1.500        3.186        2.241        8.993
 1993.6877       -2.489       -1.077       -0.079        3.161        2.247        9.048
 1993.6904       -4.570       -1.389        2.538        3.119        2.250        9.070
 1993.6932       -5.561        0.682        3.354        3.092        2.238        8.938
 1993.6959       -2.900        1.606        5.280        3.235        2.339        9.343
 1993.6986       -2.299        1.561       -3.302        3.309        2.418        9.940
 1993.7014       -1.725       -0.437       -3.200        3.146        2.227        9.043
 1993.7041       -3.747        4.677       -0.260        3.114        2.222        8.966
 1993.7068       -4.658       -0.570       -1.370        3.068        2.227        8.913
 1993.7096       -3.614       -3.820        8.510        4.353        4.015       15.478
 1993.7151       -0.555        3.245       13.750        4.596        3.888       19.030
 1993.7178       -1.080       -0.356        2.759        3.295        2.390        9.606
 1993.7233       -5.863        0.219        1.117        3.141        2.312        9.152
 1993.7260       -6.242        4.734       -0.554        3.086        2.223        8.909
 1993.7342       -3.436       -5.579        6.138        4.812        4.345       19.298
 1993.7370        2.271        0.188       -4.286        3.446        2.579        9.879
 1993.7397       -0.688        2.933        3.968        3.425        2.431        9.591
 1993.7425       -0.656        0.325        1.401        3.081        2.222        8.922
 1993.7452       -0.747        2.978        4.489        3.116        2.258        9.181
 1993.7479       -7.525        0.317        1.405        3.348        2.314        9.527
 1993.7507       -2.576        1.771       -5.160        3.398        2.320        9.576
 1993.7534       -4.645       -1.236       -3.917        3.277        2.262        9.351
 1993.7562       -3.082        1.295       -5.823        3.127        2.266        9.227
 1993.7589       -1.924        6.265       -5.346        3.110        2.207        9.048
 1993.7616       -7.515        3.960       -8.800        3.300        2.275        9.459
 1993.7644       -3.174        2.401       -5.532        3.311        2.275        9.394
 1993.7671       -2.807        0.572      -10.004        3.764        2.607       10.254
 1993.7726       -2.869        1.306       -1.707        3.521        2.401        9.894
 1993.7753       -0.172        0.754       -2.188        3.352        2.328        9.866
 1993.7781        2.829        2.286        2.297        3.760        2.655       11.216
 1993.7808        3.327        6.375      -10.200        6.676        4.808       20.658
 1993.7836       -0.005        2.479       -0.354        3.707        2.720       11.629
 1993.7863        3.988        2.321       -4.491        3.979        2.796       11.788
 1993.7890        3.293        4.267        1.547        3.636        2.676       11.179
 1993.7918       -2.037        1.169       13.706        3.942        2.735       11.934
 1993.7945       -0.553        3.158        7.220        3.717        2.724       11.099
 1993.7973        1.462        1.400       -1.621        6.342        5.231       20.822
 1993.8000        2.963        5.576        3.065        7.825        5.149       26.196
 1993.8027        1.967        1.300       -0.509        7.135        4.586       23.325
 1993.8055        0.678       -1.036        1.252        3.892        2.930       12.361
 1993.8082        2.650       -0.082       12.113        3.762        2.811       12.012
 1993.8110        3.498        0.833        3.889        3.736        2.752       11.635
 1993.8137        5.511        5.035       -3.186        3.633        2.641       11.152
 1993.8164        3.707        5.233       -3.574        3.597        2.691       11.064
 1993.8192        0.043       -0.612      -10.090        4.368        3.230       14.715
 1993.8219        5.693       -4.189        3.998        3.733        2.660       11.524
 1993.8247        1.017       -1.318        8.119        4.303        3.404       13.212
 1993.8274        2.429       -0.865        4.569        3.650        2.594       11.003
 1993.8301        2.843        1.502       -1.419        3.719        2.662       11.478
 1993.8329        2.111        0.248       -5.852        3.647        2.566       11.138
 1993.8356        3.060        3.650       -5.269        3.592        2.577       11.092
 1993.8384        0.144        0.889        4.683        4.241        3.663       13.673
 1993.8411        5.859        2.476       -0.288        4.976        4.121       16.155
 1993.8438        0.104        1.699        0.218        4.734        3.624       14.271
 1993.8466        3.058        0.646       -3.680        4.150        2.907       12.412
 1993.8493        0.937        4.149        3.982        4.224        2.916       12.644
 1993.8521        1.768        4.528       -2.730        4.019        3.020       11.654
 1993.8548       -0.520        0.840       -7.726        3.419        2.433        9.755
 1993.8575        1.215       -3.248       -2.264        3.330        2.315        9.272
 1993.8603       -0.715       -0.204        9.305        3.311        2.334        9.314
 1993.8630       -0.352       -0.398        3.765        3.262        2.287        9.286
 1993.8658        0.239       -2.882       -2.810        3.242        2.259        9.125
 1993.8685       -1.875       -0.717       -3.806        3.289        2.323        9.371
 1993.8712        1.188       -1.514       -4.751        3.190        2.269        8.994
 1993.8740       -0.818       -1.040        0.110        3.233        2.284        9.155
 1993.8767        2.340        0.139       -8.951        3.180        2.277        9.216
 1993.8795       -0.893       -0.034       -5.600        3.237        2.281        9.351
 1993.8822        2.940        2.405       -3.652        3.262        2.285        9.275
 1993.8849       -1.372       -4.343       -1.695        3.181        2.233        9.194
 1993.8877        2.542       -3.269        8.459        3.264        2.303        9.554
 1993.8904       -0.220       -1.798       -0.596        3.148        2.237        9.096
 1993.8932        1.701       -1.184       -3.830        3.210        2.229        9.122
 1993.8959        2.878       -1.033       -7.997        3.176        2.205        8.915
 1993.8986       -0.246       -0.650       -7.374        3.171        2.228        9.110
 1993.9014        1.571       -1.467       -1.490        3.199        2.215        9.125
 1993.9041       -0.682       -3.379        0.631        3.143        2.237        9.116
 1993.9068        0.501       -5.547        3.027        3.267        2.297        9.388
 1993.9096       -4.398       -4.221        0.562        3.220        2.238        9.127
 1993.9123        1.019       -1.760       -3.291        3.115        2.204        8.874
 1993.9151       -0.768       -4.649       -3.581        3.272        2.336        9.340
 1993.9178       -1.909        0.535        5.716        3.325        2.345        9.461
 1993.9205        1.477       -0.452        4.233        3.208        2.270        9.151
 1993.9233        1.655       -4.345        4.788        3.191        2.204        9.027
 1993.9260       -1.298       -5.783        0.741        3.254        2.229        9.164
 1993.9288       -1.987       -0.046       10.646        3.321        2.356        9.631
 1993.9315        0.284       -7.293        9.220        3.366        2.334        9.876
 1993.9342       -3.448       -5.137        5.570        3.370        2.306        9.699
 1993.9370       -4.127       -5.083        9.517        3.218        2.224        9.152
 1993.9397        0.882        0.723       10.832        3.044        2.191        8.803
 1993.9425       -1.916       -1.354       -0.291        3.246        2.260        9.144
 1993.9452       -0.734        0.563        7.756        3.270        2.266        9.237
 1993.9479        2.549       -1.525        2.176        3.042        2.171        8.843
 1993.9507       -1.900       -2.579        0.987        3.019        2.150        8.686
 1993.9534       -3.361       -1.436        0.430        3.004        2.179        8.844
 1993.9562        0.134       -2.049       -3.413        3.070        2.193        9.053
 1993.9589       -1.667       -1.202       -7.109        3.016        2.136        8.679
 1993.9616        0.957       -0.968       -9.716        3.106        2.141        8.832
 1993.9644        2.140       -2.776       -9.994        3.138        2.184        8.922
 1993.9671       -1.489       -7.600       -4.194        3.111        2.207        8.968
 1993.9699        1.480       -1.468       -6.639        3.021        2.154        8.698
 1993.9726       -1.559       -1.056       -4.277        3.085        2.226        9.155
 1993.9753        0.867       -1.785       -2.293        3.075        2.222        9.033
 1993.9781       -0.035       -2.240       -2.470        3.146        2.309        9.280
 1993.9808       -0.843       -3.069       -0.214        3.731        2.779       11.007
 1993.9836       -0.304       -3.724       -2.782        3.493        2.557       10.290
 1993.9863       -2.190       -4.950       -1.371        3.047        2.205        8.973
 1993.9890        2.178       -0.345       -2.587        3.099        2.256        9.234
 1993.9918       -2.326       -1.791       -4.378        3.200        2.266        9.311
 1993.9945       -2.636       -5.510       -6.150        3.044        2.242        9.076
 1993.9973       -4.561       -5.395       -4.936        3.137        2.234        9.393
